1.00,0.95,0.68,0.59,95.29,4.69
1.05,1.00,0.71,0.62,100.09,4.92
1.47,1.40,1.00,0.87,140.36,6.90
1.70,1.62,1.15,1.00,162.06,7.97
0.01,0.01,0.007,0.006,1.00,0.05
0.21,0.20,0.14,0.13,20.33,1.00